ADDRESS;CITY;ENTITY_ID;LATITUDE;LOADER_TYPE;LONGITUDE;NUMBER_OF_CHARGING_POINTS;OPERATING_COMPANY;PLUG_TYPES_1;PLUG_TYPES_2;PLUG_TYPES_3;PLUG_TYPES_4;POWER_1_KW;POWER_2_KW;POWER_3_KW;POWER_4_KW;START_UP_DATE;ZIP_CODE
Nadlerstr. 3;Leutkirch;6822;47.826494;Normalladeeinrichtung;10.014622;2;Autohaus Mayer & Kloos GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;29.11.18;88299
Ottmannshoferstr. 44;Leutkirch;6823;47.833906;Schnellladeeinrichtung;10.025059;3;EnBW Energie Baden-Württemberg;AC Kupplung Typ 2;DC Kupplung Combo, DC CHAdeMO;DC Kupplung Combo;;43.0;50.0;50.0;0.0;13.11.18;88299
Am Waizenhof 10;Aichstetten;6824;47.880383;Schnellladeeinrichtung;10.040579;2;Allego GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;43.0;0.0;0.0;21.12.15;88317
Am Waizenhof 10;Aichstetten;6825;47.880383;Schnellladeeinrichtung;10.040579;2;Allego GmbH;DC Kupplung Combo;AC Kupplung Typ 2;;;53.0;22.0;0.0;0.0;21.12.15;88317
Am Waizenhof 10;Aichstetten;6826;47.880383;Schnellladeeinrichtung;10.040579;2;Allego GmbH;DC Kupplung Combo;AC Kupplung Typ 2;;;53.0;22.0;0.0;0.0;21.12.15;88317
Am Waizenhof 10;Aichstetten;6827;47.880383;Schnellladeeinrichtung;10.040579;2;Allego GmbH;DC Kupplung Combo;AC Kupplung Typ 2;;;53.0;22.0;0.0;0.0;21.12.15;88317
Badstr. 11;Bad;6828;47.916442;Normalladeeinrichtung;9.76297;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;04.05.16;88339
Lindenstraße 7;Bad;6829;48.01614086;Normalladeeinrichtung;9.497603551;1;Stadtwerke Bad Saulgau - Eigenbetrieb;AC Steckdose Typ 2;;;;22.0;0.0;0.0;0.0;23.12.16;88348
Am Schönen Moos 1;Bad;6830;48.01644354;Normalladeeinrichtung;9.485916495;2;Stadtwerke Bad Saulgau - Eigenbetrieb;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;17.03.17;88348
Fürst-Eberhard-Str. 3;Kißlegg;6831;47.788432;Normalladeeinrichtung;9.880758;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;14.12.15;88353
Theaterstr. 3;Biberach;6832;48.096138;Normalladeeinrichtung;9.785605;2;Stadtwerke Biberach GmbH;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;15.04.16;88400
Zeppelinring 40;Biberach;6833;48.097266;Normalladeeinrichtung;9.791612;2;Stadtwerke Biberach GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;01.01.14;88400
Rißstr. 24;Biberach;6834;48.104182;Normalladeeinrichtung;9.7958;2;Autohaus Munding GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;13.10.18;88400
Bürgerstraße 11;Bad;6835;49.907988;Normalladeeinrichtung;9.897554;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;06.12.18;88410
Bürgerstraße 11;Bad;6836;49.907988;Normalladeeinrichtung;9.897554;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;06.12.18;88410
